,ID_full,Player,Nation,First Name,Last Name,Position Primary,Position Secondary,Squad,League,Age,Born,90s,Assists,G+A,Goals without Penalties,Yellow Cards,Red Cards,xAssistedGoals,npxG+xAG,Prog. Carries,Prog. Passes,Progressive Passes received,Goals,Shots,Shots on Target,Shots on Target %,Goals per Shot,Goals per Shot on Target,xG,npxG,npxG per Shot,npxG Over/Underperformance,Passes played,Pass %,Progressive Pass Distance,Short Passes Completed,% Short Passes Completed,Medium Passes Completed,% Medium Passes Completed,Long Passes Completed,% Long Passes Completed,xA,xA Over/Underperformance,Key Passes,Passes into final 1/3,Passes into Penalty Area,Crosses into Penalty Area,Through Balls,Crosses,Shot Creating Actions,Goal Creating Actions,Tackles,Tackles Won,Tackles in Defensive 3rd,Tackles in Midfield,Tackles in Attacking 3rd,Dribblers Tackled,Dribbles Challenged,% of dribblers tackled,Blocks,Shots Blocked,Interceptions,Tackles + Int,Clearances,Errors leading to shots,Touches,Touches own PA,Touches in Def. 1/3,Touches in Midfield,Touches in Final 1/3,Touches Opp. PA,Take-Ons Attempted,Take-Ons Completed,% Successful Take-Ons,% Tackled during Take-Ons,Carries,Progressive Carries Distance,Carries into final 1/3,Carries into Penalty Area,Dispossesed,Fouls Committed,Fouls drawn,Offsides,Ball Recoveries,Aerials won,% Aerials won
179,alex baena_2001_villarreal,Alex Baena,ESP,Alex,Baena,MF,FW,Villarreal,La Liga,22,2001,28.7,14,16,2,11,1,9.2,16.3,84,165,181,2,72,25,34.7,0.03,0.08,7.9,7.1,0.10,-5.1,893,71.2,5861,394,85.7,351,75.2,129,52.9,9.5,+4.8,83,95,59,15,28,175,151,22,34,21,10,16,8,20,47,42.6,23,2,13,47,17,1,1550,29,224,650,693,102,53,26,49.1,45.3,908,2765,58,23,33,52,57,8,116,8,40.0
180,jaime báez_1995_frosinone,Jaime Báez,URU,Jaime,Báez,FW,MF,Frosinone,Serie A,28,1995,5.6,0,1,1,1,0,0.5,1.0,12,29,39,1,9,2,22.2,0.11,0.50,0.5,0.5,0.05,+0.5,141,69.8,920,68,78.2,50,78.1,16,48.5,0.8,-0.5,8,12,9,0,0,24,16,2,4,1,0,2,2,0,7,0.0,5,0,4,8,1,0,248,5,31,110,111,14,10,5,50.0,30.0,143,431,6,2,11,6,15,5,29,4,44.4
181,nicola bagnolini_2004_bologna,Nicola Bagnolini,ITA,Nicola,Bagnolini,GK,,Bologna,Serie A,19,2004,0.1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,2,66.7,82,1,100.0,0,0,1,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
182,leon bailey_1997_aston villa,Leon Bailey,JAM,Leon,Bailey,MF,FW,Aston Villa,Premier League,25,1997,23.0,9,19,10,5,0,9.2,15.5,102,82,226,10,53,18,34.0,0.19,0.56,6.3,6.3,0.12,+3.7,573,72.5,2559,327,83.6,184,76.0,48,58.5,7.3,-0.2,52,38,51,7,11,75,97,11,13,7,7,4,2,5,20,25.0,18,1,9,22,6,0,1040,19,151,318,589,129,119,57,47.9,42.0,717,2495,47,41,41,26,26,11,107,14,36.8
183,eric bailly_1994_villarreal,Eric Bailly,CIV,Eric,Bailly,DF,,Villarreal,La Liga,29,1994,9.3,0,0,0,4,0,0.0,0.2,3,18,1,0,2,0,0.0,0.00,0,0.2,0.2,0.11,-0.2,337,87.5,2551,112,91.1,191,91.0,29,70.7,0.0,0.0,0,12,1,0,0,0,3,1,5,3,4,1,0,2,2,100.0,8,8,9,14,38,2,459,79,282,175,9,3,8,7,87.5,0.0,243,816,2,0,3,6,5,0,51,15,68.2
184,stefan bajcetic_2004_liverpool,Stefan Bajcetic,ESP,Stefan,Bajcetic,MF,,Liverpool,Premier League,18,2004,0.3,0,0,0,0,0,0.0,0.0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0.0,7,70.0,44,3,100.0,4,66.7,0,0,0.0,0.0,0,0,0,0,0,0,0,0,4,1,3,1,0,3,5,60.0,0,0,0,4,0,0,12,0,4,8,0,0,0,0,0,0,9,24,0,0,0,1,2,0,2,0,0
185,nedim bajrami_1999_sassuolo,Nedim Bajrami,ALB,Nedim,Bajrami,MF,FW,Sassuolo,Serie A,24,1999,14.6,2,4,2,0,0,2.2,4.7,51,49,70,2,32,9,28.1,0.06,0.22,2.5,2.5,0.08,-0.5,330,71.7,1538,154,82.8,134,77.0,25,39.7,1.6,-0.2,22,16,15,2,2,78,50,6,13,6,6,3,4,5,13,38.5,5,1,6,19,8,0,583,9,69,213,318,43,31,17,54.8,41.9,310,1390,25,11,11,12,6,3,57,2,15.4
186,cédric bakambu_1991_betis,Cédric Bakambu,COD,Cédric,Bakambu,FW,,Betis,La Liga,32,1991,2.2,0,0,0,1,0,0.3,0.7,5,4,12,0,4,1,25.0,0.00,0.00,0.4,0.4,0.11,-0.4,26,66.7,58,14,70.0,7,58.3,0,0,0.4,-0.3,3,1,0,0,0,0,5,0,1,0,0,1,0,0,0,0,2,0,0,1,0,0,66,0,3,35,28,11,3,1,33.3,66.7,35,110,2,3,4,4,3,3,4,3,30.0
187,tiemoué bakayoko_1994_lorient,Tiemoué Bakayoko,FRA,Tiemoué,Bakayoko,MF,,Lorient,Ligue 1,28,1994,14.6,1,3,2,5,0,0.5,2.2,14,54,15,2,12,7,58.3,0.17,0.29,1.7,1.7,0.15,+0.3,550,86.3,2584,251,89.0,240,88.9,42,84.0,0.3,+0.5,4,55,2,0,1,1,13,3,34,17,14,17,3,15,28,53.6,10,4,26,60,15,1,785,39,209,491,94,15,15,5,33.3,66.7,581,1264,21,1,15,25,23,2,94,24,58.5
188,mitchel bakker_2000_atalanta,Mitchel Bakker,NED,Mitchel,Bakker,DF,,Atalanta,Serie A,23,2000,4.2,0,1,1,1,0,0.1,0.3,12,10,20,1,5,1,20.0,0.20,1.00,0.2,0.2,0.04,+0.8,167,78.8,433,105,89.7,51,82.3,6,37.5,0.1,-0.1,3,9,0,0,0,13,4,0,7,3,6,1,0,2,12,16.7,5,0,3,10,6,0,255,6,70,116,77,10,12,7,58.3,33.3,139,457,8,2,3,4,4,1,30,4,80.0
189,ridle baku_1998_wolfsburg,Ridle Baku,GER,Ridle,Baku,DF,MF,Wolfsburg,Bundesliga,25,1998,22.4,0,1,1,4,0,3.0,4.8,37,85,130,1,27,9,33.3,0.04,0.11,1.8,1.8,0.07,-0.8,789,75.3,3955,408,85.9,306,75.9,58,50.4,3.5,-3.0,29,46,26,10,5,54,59,1,37,20,24,7,6,21,46,45.7,27,1,21,58,45,1,1328,52,313,574,457,54,40,17,42.5,45.0,732,1536,31,9,20,24,35,3,124,21,43.8
190,dilane bakwa_2002_strasbourg,Dilane Bakwa,FRA,Dilane,Bakwa,FW,MF,Strasbourg,Ligue 1,20,2002,24.2,6,9,3,4,1,6.2,9.4,94,92,204,3,44,12,27.3,0.07,0.25,3.2,3.2,0.07,-0.2,587,68.1,3121,282,81.7,214,71.6,64,41.8,4.6,-0.2,49,50,36,10,9,155,107,10,30,22,12,13,5,11,40,27.5,26,1,20,50,11,0,1158,20,127,487,577,75,121,52,43.0,51.2,806,2898,76,24,38,32,75,3,114,12,35.3
191,tommaso baldanzi_2003_empoli,Tommaso Baldanzi,ITA,Tommaso,Baldanzi,MF,FW,Empoli,Serie A,20,2003,8.3,0,2,2,1,0,1.0,3.1,20,30,40,2,14,6,42.9,0.14,0.33,2.1,2.1,0.15,-0.1,201,78.2,751,102,85.7,70,81.4,15,68.2,0.8,-1.0,13,12,11,3,0,16,36,2,4,2,1,1,2,3,10,30.0,7,0,2,6,0,0,347,2,28,151,176,26,26,7,26.9,61.5,230,641,16,6,13,4,16,2,27,1,14.3
192,tommaso baldanzi_2003_roma,Tommaso Baldanzi,ITA,Tommaso,Baldanzi,FW,MF,Roma,Serie A,20,2003,5.8,0,0,0,2,0,0.7,1.5,18,14,54,0,15,3,20.0,0.00,0.00,0.9,0.9,0.06,-0.9,175,85.4,434,111,89.5,57,86.4,3,42.9,0.7,-0.7,4,16,6,3,1,7,23,1,9,5,3,4,2,1,1,100.0,2,0,0,9,4,0,261,1,26,122,116,19,22,8,36.4,45.5,176,499,16,5,7,7,14,1,20,0,0.0
193,alejandro balde_2003_barcelona,Alejandro Balde,ESP,Alejandro,Balde,DF,,Barcelona,La Liga,19,2003,15.3,1,1,0,1,0,1.2,1.4,73,41,141,0,5,1,20.0,0.00,0.00,0.1,0.1,0.03,-0.1,694,84.9,2231,430,90.9,229,86.7,22,52.4,1.5,-0.2,13,26,20,7,1,37,29,4,20,11,11,6,3,7,11,63.6,14,1,5,25,21,1,979,35,215,394,384,40,53,20,37.7,37.7,567,2213,36,20,16,9,18,4,67,12,48.0
194,aliou baldé_2002_nice,Aliou Baldé,GUI,Aliou,Baldé,FW,DF,Nice,Ligue 1,20,2002,0.8,0,0,0,0,0,0.0,0.1,5,2,8,0,3,2,66.7,0.00,0.00,0.1,0.1,0.05,-0.1,15,50.0,33,12,70.6,2,22.2,0,0.0,0.0,0.0,0,0,0,0,1,4,5,0,4,1,0,3,1,1,1,100.0,2,1,3,7,0,0,58,1,5,19,36,5,10,3,30.0,60.0,35,161,5,1,0,2,2,0,6,1,33.3
195,george baldock_1993_sheffield utd,George Baldock,GRE,George,Baldock,DF,,Sheffield Utd,Premier League,30,1993,10.8,1,1,0,4,0,0.8,0.8,9,31,24,0,1,0,0.0,0.00,0,0.0,0.0,0.02,0.0,291,73.3,1810,169,88.5,100,80.6,18,34.6,0.6,+0.2,7,18,11,4,0,18,16,2,18,10,10,7,1,6,15,40.0,14,8,10,28,33,0,505,66,200,192,116,9,11,6,54.5,36.4,238,463,3,4,9,19,14,1,44,13,50.0
196,carlos baleba_2004_brighton,Carlos Baleba,CMR,Carlos,Baleba,MF,,Brighton,Premier League,19,2004,14.7,0,0,0,7,0,0.3,1.1,19,50,9,0,21,5,23.8,0.00,0.00,0.8,0.8,0.04,-0.8,713,92.0,2185,402,93.7,267,96.0,24,80.0,0.3,-0.3,8,38,3,0,0,0,17,1,40,20,17,19,4,23,46,50.0,35,7,18,58,30,3,965,65,255,580,139,5,22,11,50.0,27.3,571,1423,19,1,16,40,27,0,95,24,72.7
197,carlos baleba_2004_lille,Carlos Baleba,CMR,Carlos,Baleba,MF,,Lille,Ligue 1,19,2004,0.7,0,0,0,0,0,0.0,0.0,1,3,1,0,2,1,50.0,0.00,0.00,0.0,0.0,0.02,0.0,39,86.7,100,20,90.9,12,92.3,4,66.7,0.0,0.0,0,5,0,0,0,0,0,0,6,2,1,4,1,3,4,75.0,0,0,2,8,0,0,59,1,8,39,12,0,0,0,0,0,43,69,1,0,2,2,2,0,2,0,0
198,leonardo balerdi_1999_marseille,Leonardo Balerdi,ARG,Leonardo,Balerdi,DF,,Marseille,Ligue 1,24,1999,25.2,0,2,2,6,1,0.2,1.0,19,122,6,2,14,4,28.6,0.14,0.50,0.9,0.9,0.06,+1.1,1402,86.1,9543,520,92.5,678,90.0,169,65.0,0.5,-0.2,5,115,3,0,0,2,27,3,79,50,55,23,1,49,67,73.1,38,15,51,130,91,0,1936,188,845,1036,73,18,18,9,50.0,33.3,1412,4056,23,0,10,25,23,1,167,57,61.3
199,iván balliu_1992_rayo vallecano,Iván Balliu,ALB,Iván,Balliu,DF,,Rayo Vallecano,La Liga,31,1992,31.9,1,1,0,4,0,2.6,3.3,50,98,100,0,11,4,36.4,0.00,0.00,0.7,0.7,0.06,-0.7,1116,75.1,8333,553,88.3,443,78.3,97,47.1,2.3,-1.6,24,77,18,10,2,68,51,3,44,31,20,24,0,22,39,56.4,27,11,29,73,66,1,1736,83,477,797,471,33,20,7,35.0,50.0,708,1825,29,5,11,41,30,8,127,30,52.6
200,fodé ballo-touré_1997_fulham,Fodé Ballo-Touré,SEN,Fodé,Ballo-Touré,DF,MF,Fulham,Premier League,26,1997,0.8,0,0,0,1,0,0.0,0.0,5,0,4,0,0,0,0,0,0,0.0,0.0,0,0.0,56,71.8,224,23,76.7,26,78.8,6,75.0,0.0,0.0,0,3,0,0,0,4,0,0,4,2,1,3,0,1,2,50.0,1,0,3,7,2,0,91,4,35,39,18,1,6,3,50.0,33.3,48,163,2,1,0,4,2,0,6,0,0.0
201,folarin balogun_2001_monaco,Folarin Balogun,USA,Folarin,Balogun,FW,,Monaco,Ligue 1,22,2001,18.8,5,12,7,1,0,3.3,11.8,35,30,199,7,63,26,41.3,0.11,0.27,11.0,8.5,0.14,-1.5,263,72.1,588,150,80.2,73,74.5,5,31.3,1.9,+1.7,26,20,11,0,3,7,61,8,12,4,3,8,1,5,13,38.5,10,0,3,15,4,0,620,5,30,248,345,140,41,11,26.8,68.3,501,793,18,29,42,31,35,14,48,8,19.5
202,jonathan bamba_1996_celta vigo,Jonathan Bamba,CIV,Jonathan,Bamba,MF,FW,Celta Vigo,La Liga,27,1996,22.0,2,5,3,0,0,4.7,7.7,107,80,169,3,41,14,34.1,0.07,0.21,3.0,3.0,0.07,0.0,590,76.7,2148,397,87.3,138,72.6,20,55.6,3.7,-2.7,38,38,33,10,8,50,79,4,14,9,4,8,2,2,17,11.8,20,0,18,32,12,0,1037,12,119,457,487,91,106,42,39.6,50.0,754,2946,48,31,24,15,65,7,101,7,24.1
203,mohamed bamba_2001_lorient,Mohamed Bamba,CIV,Mohamed,Bamba,FW,,Lorient,Ligue 1,21,2001,12.6,3,11,7,3,0,2.1,7.7,25,16,69,8,37,17,45.9,0.19,0.41,6.4,5.6,0.16,+1.4,185,72.3,373,96,74.4,69,78.4,3,75.0,1.2,+0.9,14,8,10,0,0,2,32,3,14,9,3,8,3,4,10,40.0,7,1,2,16,3,0,405,9,32,195,187,76,29,11,37.9,58.6,278,762,22,13,25,22,14,11,35,23,44.2
204,samuel bamba_2004_dortmund,Samuel Bamba,GER,Samuel,Bamba,FW,,Dortmund,Bundesliga,19,2004,0.5,0,0,0,0,0,0.1,0.3,5,2,7,0,2,0,0.0,0.00,0,0.3,0.3,0.13,-0.3,14,70.0,42,11,91.7,1,50.0,2,50.0,0.1,-0.1,1,0,1,0,0,4,2,0,1,1,1,0,0,1,2,50.0,0,0,0,1,1,0,30,1,4,5,22,8,1,1,100.0,0.0,15,103,3,1,0,1,1,0,1,0,0
205,lameck banda_2001_lecce,Lameck Banda,ZAM,Lameck,Banda,FW,,Lecce,Serie A,22,2001,15.0,4,6,2,5,1,1.9,5.5,70,22,136,2,50,23,46.0,0.04,0.09,3.6,3.6,0.07,-1.6,250,73.1,745,137,85.6,88,77.9,15,36.6,1.2,+2.1,24,12,17,9,1,51,62,3,27,23,11,12,4,7,21,33.3,18,0,3,30,7,0,602,2,75,231,315,61,99,42,42.4,50.5,414,1752,34,34,29,32,30,9,82,9,36.0
206,daniel bandeira_2000_hellas verona,Daniel Bandeira,POR,Daniel,Bandeira,MF,,Hellas Verona,Serie A,23,2000,5.0,0,0,0,2,0,0.2,0.3,9,34,8,0,3,0,0.0,0.00,0,0.1,0.1,0.02,-0.1,187,80.3,1112,82,88.2,77,84.6,22,61.1,0.3,-0.2,3,30,5,0,3,7,12,1,6,5,1,4,1,3,7,42.9,3,0,3,9,9,0,276,12,47,164,67,2,4,3,75.0,0.0,124,392,4,1,6,5,3,0,34,4,25.0
207,mamady bangré_2001_toulouse,Mamady Bangré,BFA,Mamady,Bangré,FW,MF,Toulouse,Ligue 1,22,2001,1.1,1,1,0,2,0,0.7,0.8,10,9,12,0,3,0,0.0,0.00,0,0.1,0.1,0.04,-0.1,59,79.7,234,27,84.4,21,80.8,2,50.0,0.6,+0.3,6,2,5,2,0,4,7,1,4,2,2,2,0,3,4,75.0,0,0,4,8,3,0,97,2,14,33,50,13,5,1,20.0,80.0,76,312,5,2,4,3,0,1,12,1,25.0
208,mattia bani_1993_genoa,Mattia Bani,ITA,Mattia,Bani,DF,,Genoa,Serie A,29,1993,25.6,0,2,2,9,0,0.1,1.3,5,37,4,2,9,5,55.6,0.22,0.40,1.2,1.2,0.14,+0.8,962,83.5,6794,325,91.3,533,91.0,95,52.5,0.1,-0.1,2,36,1,0,0,1,7,0,26,10,18,7,1,11,22,50.0,51,31,22,48,116,1,1418,230,868,517,37,17,4,1,25.0,50.0,749,1524,2,0,2,21,28,2,98,49,53.8
209,léo baptistão_1992_almería,Léo Baptistão,BRA,Léo,Baptistão,FW,,Almería,La Liga,30,1992,20.4,0,6,6,6,1,1.8,7.1,26,45,88,6,48,18,37.5,0.13,0.33,5.3,5.3,0.11,+0.7,366,64.4,1333,217,73.1,104,66.2,23,46.9,1.0,-1.8,19,21,8,2,1,27,40,1,25,16,12,8,5,9,25,36.0,13,1,11,36,22,0,793,23,123,416,267,67,28,12,42.9,50.0,399,1118,21,8,17,21,29,13,85,48,40.7
210,shandon baptiste_1998_brentford,Shandon Baptiste,GRN,Shandon,Baptiste,MF,,Brentford,Premier League,25,1998,2.5,1,2,1,1,0,0.2,1.1,3,5,1,1,2,2,100.0,0.50,0.50,0.9,0.9,0.45,+0.1,66,73.3,351,33,84.6,25,89.3,7,46.7,0.4,+0.8,4,7,3,2,0,3,5,1,4,4,2,2,0,1,5,20.0,5,1,3,7,6,0,130,7,41,57,34,6,11,6,54.5,45.5,64,170,1,0,0,3,0,0,17,3,33.3
211,antonín barák_1994_fiorentina,Antonín Barák,CZE,Antonín,Barák,MF,FW,Fiorentina,Serie A,28,1994,9.0,3,5,2,2,0,2.2,3.8,17,33,64,2,20,8,40.0,0.10,0.25,1.5,1.5,0.08,+0.5,338,86.2,1035,191,91.8,115,86.5,22,88.0,1.5,+0.8,14,30,9,3,0,4,30,3,6,2,1,3,2,3,7,42.9,5,0,2,8,4,0,473,6,38,218,219,40,13,4,30.8,61.5,310,634,23,1,16,8,7,1,35,13,37.1
212,valentín barco_2004_brighton,Valentín Barco,ARG,Valentín,Barco,DF,FW,Brighton,Premier League,19,2004,3.4,0,0,0,1,0,0.2,0.4,8,14,20,0,4,2,50.0,0.00,0.00,0.2,0.2,0.05,-0.2,179,76.8,864,120,91.6,47,73.4,7,30.4,0.4,-0.2,4,10,3,0,2,30,8,0,11,5,4,5,2,6,8,75.0,3,0,4,15,3,1,274,7,73,102,100,5,11,5,45.5,36.4,181,367,4,0,4,7,7,0,16,1,12.5
213,bradley barcola_2002_lyon,Bradley Barcola,FRA,Bradley,Barcola,FW,,Lyon,Ligue 1,20,2002,3.0,0,0,0,1,0,0.3,0.4,11,9,31,0,2,0,0.0,0.00,0,0.1,0.1,0.04,-0.1,70,77.8,275,50,83.3,18,85.7,2,50.0,0.4,-0.3,4,5,3,0,0,0,5,0,5,2,0,2,3,1,7,14.3,4,0,2,7,0,0,129,1,10,56,64,19,18,8,44.4,55.6,103,303,6,8,2,4,2,2,11,9,81.8
214,bradley barcola_2002_paris s-g,Bradley Barcola,FRA,Bradley,Barcola,FW,MF,Paris S-G,Ligue 1,20,2002,15.2,7,11,4,3,1,5.2,9.8,93,56,216,4,31,11,35.5,0.13,0.36,4.5,4.5,0.15,-0.5,436,77.6,1516,281,82.9,135,79.4,10,43.5,4.2,+1.8,29,26,19,1,4,18,70,12,34,16,12,13,9,7,25,28.0,27,2,10,44,13,1,802,16,97,251,475,103,94,46,48.9,45.7,639,2538,50,50,11,22,12,4,52,10,47.6
215,melvin bard_2000_nice,Melvin Bard,FRA,Melvin,Bard,DF,,Nice,Ligue 1,22,2000,29.5,2,3,1,7,1,2.8,3.4,60,111,99,1,15,5,33.3,0.07,0.20,0.5,0.5,0.04,+0.5,1457,81.7,6956,719,89.3,607,86.5,86,44.8,2.3,-0.8,18,77,26,14,0,70,51,3,69,38,28,30,11,37,63,58.7,46,12,42,111,46,0,2106,83,686,1010,449,22,73,37,50.7,42.5,1447,3915,87,7,14,40,24,1,204,23,44.2
216,nicolò barella_1997_inter,Nicolò Barella,ITA,Nicolò,Barella,MF,,Inter,Serie A,26,1997,31.6,3,5,2,7,0,3.4,8.5,68,278,144,2,40,12,30.0,0.05,0.17,5.1,5.1,0.13,-3.1,1835,84.6,9590,958,91.7,678,89.0,155,63.0,4.5,-0.4,42,212,78,11,12,51,137,20,46,30,17,20,9,19,63,30.2,31,1,10,56,12,1,2425,43,424,1281,739,58,59,29,49.2,40.7,1556,3389,73,9,29,28,27,3,167,20,57.1
217,kike barja_1997_osasuna,Kike Barja,ESP,Kike,Barja,FW,MF,Osasuna,La Liga,26,1997,3.4,0,0,0,3,0,0.5,0.7,17,8,41,0,4,2,50.0,0.00,0.00,0.2,0.2,0.06,-0.2,83,72.8,240,44,88.0,24,70.6,8,47.1,0.4,-0.5,5,0,6,3,0,23,12,1,6,2,2,2,2,3,8,37.5,2,1,2,8,2,0,165,5,15,55,98,14,22,11,50.0,36.4,109,357,8,5,7,8,4,1,16,3,37.5
218,ross barkley_1993_luton town,Ross Barkley,ENG,Ross,Barkley,MF,,Luton Town,Premier League,29,1993,29.1,4,9,5,6,0,3.7,7.9,48,163,39,5,66,19,28.8,0.08,0.26,4.1,4.1,0.06,+0.9,1218,82.6,6544,550,90.0,473,88.7,147,65.0,2.7,+0.3,44,138,27,1,4,45,104,11,47,19,16,21,10,11,48,22.9,25,9,25,72,51,2,1778,73,374,1012,430,39,104,66,63.5,32.7,1006,2807,49,4,56,25,40,0,201,42,55.3
219,aymen barkok_1998_mainz 05,Aymen Barkok,MAR,Aymen,Barkok,MF,FW,Mainz 05,Bundesliga,25,1998,3.6,0,1,1,2,0,0.3,1.2,14,16,33,1,11,6,54.5,0.09,0.17,1.7,0.9,0.08,+0.1,118,64.1,639,64,71.1,39,66.1,9,45.0,0.6,-0.3,5,11,4,1,1,13,15,1,9,5,2,6,1,3,6,50.0,7,0,2,11,1,0,238,2,19,116,103,19,8,2,25.0,50.0,123,344,4,5,5,15,3,0,18,11,44.0
220,harvey barnes_1997_newcastle utd,Harvey Barnes,ENG,Harvey,Barnes,FW,MF,Newcastle Utd,Premier League,25,1997,8.9,3,8,5,2,0,3.2,6.8,45,34,79,5,27,12,44.4,0.19,0.42,3.6,3.6,0.13,+1.4,208,76.5,750,128,87.1,68,81.0,7,43.8,1.9,-0.2,13,11,17,3,1,12,29,6,6,1,3,2,1,1,2,50.0,1,0,5,11,3,0,360,5,48,117,200,60,25,7,28.0,56.0,266,1093,21,23,16,5,21,2,43,4,33.3
221,leandro barreiro martins_2000_mainz 05,Leandro Barreiro Martins,LUX,Leandro,Barreiro Martins,MF,,Mainz 05,Bundesliga,23,2000,29.0,1,5,4,8,0,1.1,5.6,22,93,46,4,38,13,34.2,0.11,0.31,4.5,4.5,0.12,-0.5,679,73.4,3124,338,79.5,267,77.6,54,58.7,1.1,-0.1,20,74,12,2,0,5,58,5,65,40,19,37,9,30,50,60.0,45,16,36,101,53,0,1303,74,337,709,268,68,33,15,45.5,45.5,487,922,20,6,14,58,52,3,144,39,38.2
222,enzo barrenechea_2001_frosinone,Enzo Barrenechea,ARG,Enzo,Barrenechea,MF,,Frosinone,Serie A,22,2001,31.2,1,1,0,10,0,1.7,2.3,10,155,24,0,20,3,15.0,0.00,0.00,0.6,0.6,0.03,-0.6,1624,85.3,7782,779,90.9,679,87.6,126,65.3,1.1,-0.7,25,160,8,0,1,1,46,2,65,42,28,29,8,28,70,40.0,47,12,27,92,61,2,2213,104,622,1408,205,13,18,8,44.4,44.4,1005,1526,12,0,16,32,52,0,231,51,54.3
223,ander barrenetxea_2001_real sociedad,Ander Barrenetxea,ESP,Ander,Barrenetxea,FW,MF,Real Sociedad,La Liga,21,2001,15.9,1,5,4,1,0,1.3,4.8,56,39,163,4,37,12,32.4,0.11,0.33,3.5,3.5,0.10,+0.5,372,67.0,1226,228,81.4,104,63.8,26,55.3,1.1,-0.3,13,15,15,4,1,47,41,4,32,21,7,16,9,10,26,38.5,18,1,6,38,5,0,794,8,82,307,415,68,78,38,48.7,38.5,526,1479,35,22,45,27,22,3,83,14,36.8
224,pablo barrios_2003_atlético madrid,Pablo Barrios,ESP,Pablo,Barrios,MF,,Atlético Madrid,La Liga,20,2003,17.3,1,1,0,5,0,1.9,2.8,37,98,56,0,17,7,41.2,0.00,0.00,0.9,0.9,0.05,-0.9,728,83.4,3536,381,88.4,286,87.5,46,64.8,1.0,-0.9,16,75,16,0,3,16,43,2,45,25,15,29,1,19,40,47.5,20,3,28,73,24,2,1085,39,239,622,238,15,47,35,74.5,19.1,660,1661,39,3,23,23,24,0,94,14,40.0
225,davide bartesaghi_2005_milan,Davide Bartesaghi,ITA,Davide,Bartesaghi,DF,MF,Milan,Serie A,17,2005,0.9,0,0,0,0,0,0.0,0.0,1,3,4,0,0,0,0,0,0,0.0,0.0,0,0.0,28,80.0,221,10,90.9,15,93.8,3,50.0,0.0,0.0,0,1,0,0,0,0,0,0,2,0,1,1,0,2,4,50.0,1,1,0,2,7,0,51,8,25,18,8,0,1,0,0.0,100.0,23,53,3,0,2,1,1,0,2,3,100.0
226,marc bartra_1991_betis,Marc Bartra,ESP,Marc,Bartra,DF,,Betis,La Liga,32,1991,2.5,0,0,0,1,0,0.0,0.2,2,5,0,0,3,0,0.0,0.00,0,0.2,0.2,0.07,-0.2,101,85.6,620,39,92.9,48,92.3,13,61.9,0.0,0.0,0,5,0,0,0,0,3,1,4,3,3,1,0,4,5,80.0,3,1,3,7,10,0,141,22,86,49,7,4,2,2,100.0,0.0,91,215,3,0,2,4,1,0,15,4,50.0
227,federico baschirotto_1996_lecce,Federico Baschirotto,ITA,Federico,Baschirotto,DF,,Lecce,Serie A,26,1996,36.6,1,1,0,3,1,0.7,2.1,28,96,3,0,17,6,35.3,0.00,0.00,1.7,1.5,0.09,-1.5,1516,83.8,9843,431,87.2,867,91.8,191,60.1,0.3,+0.3,2,71,1,0,0,3,22,1,21,12,16,5,0,8,15,53.3,42,26,23,44,144,1,2092,322,1171,876,53,24,0,0,0,0,1138,3312,9,0,4,30,4,0,153,93,57.1
228,steven baseya_2005_strasbourg,Steven Baseya,FRA,Steven,Baseya,DF,,Strasbourg,Ligue 1,18,2005,0.1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,11,91.7,78,3,100.0,8,100.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,1,1,1,0,1,1,100.0,0,0,0,2,1,0,15,3,9,6,0,0,0,0,0,0,9,7,0,0,0,0,0,0,2,0,0.0
229,chris basham_1988_sheffield utd,Chris Basham,ENG,Chris,Basham,DF,MF,Sheffield Utd,Premier League,35,1988,3.6,0,0,0,1,0,0.3,0.4,1,7,6,0,2,0,0.0,0.00,0,0.1,0.1,0.06,-0.1,103,74.6,484,62,88.6,31,68.9,6,42.9,0.1,-0.3,2,7,2,0,0,4,3,0,7,2,4,3,0,2,9,22.2,9,4,5,12,17,0,185,26,84,69,32,5,4,3,75.0,25.0,72,163,4,0,2,3,3,2,16,7,46.7
230,toma bašić_1996_salernitana,Toma Bašić,CRO,Toma,Bašić,MF,,Salernitana,Serie A,26,1996,12.9,0,0,0,5,0,0.5,1.1,11,53,16,0,12,1,8.3,0.00,0.00,0.6,0.6,0.05,-0.6,442,81.9,2047,192,92.3,179,83.6,57,64.0,0.7,-0.5,16,43,6,4,1,25,27,1,20,13,10,9,1,10,27,37.0,18,6,14,34,29,0,679,43,175,394,121,6,15,10,66.7,33.3,366,758,15,0,3,14,16,0,60,8,40.0
